"game_id","game_date","away_team","home_team","away_score","home_score","winner","ck"
"565309","2019/03/11","CIN","CLE","5","5","0","0"
"565791","2019/03/11","SF","LAD","4","1","0","0"
"566752","2019/03/11","LAA","TEX","12","11","0","0"
"567544","2019/03/11","CWS","MIL","5","8","1","0"
"565406","2019/03/11","OAK","COL","3","6","1","0"
"566462","2019/03/12","MIL","SF","2","4","1","0"
"566366","2019/03/11","KC","SEA","5","1","0","0"
"566753","2019/03/11","KC","TEX","2","6","1","0"
"565020","2019/03/12","DET","BOS","4","3","0","0"
"566173","2019/03/12","MIN","PIT","10","4","1","0"
"567149","2019/03/12","STL","ATL","0","5","1","0"
"567352","2019/03/12","NYM","MIA","1","8","1","0"
"566857","2019/03/12","TB","TOR","2","1","0","0"
"565888","2019/03/12","HOU","WSH","3","5","1","0"
"567449","2019/03/12","BAL","NYY","7","8","1","0"
"565117","2019/03/12","CIN","CHC","12","3","1","0"
"564923","2019/03/13","TOR","BAL","4","6","1","0"
"565021","2019/03/13","MIN","BOS","9","5","0","0"
"565889","2019/03/13","ATL","WSH","4","8","1","0"
"567353","2019/03/13","STL","MIA","1","4","1","0"
"565984","2019/03/13","HOU","NYM","1","2","1","0"
"565697","2019/03/13","CLE","KC","7","17","0","0"
"566082","2019/03/13","CHC","OAK","11","12","1","0"
"565310","2019/03/13","MIL","CLE","3","9","1","0"
"565407","2019/03/13","ARI","COL","3","5","1","0"
"567450","2019/03/13","PHI","NYY","5","5","0","0"
"564727","2019/03/13","SD","LAA","9","3","0","0"
"566367","2019/03/13","SF","SEA","4","8","1","0"
"565792","2019/03/13","CWS","LAD","10","7","1","0"
"565503","2019/03/14","BOS","DET","4","4","0","0"
"566561","2019/03/14","NYM","STL","1","1","0","0"
"564924","2019/03/14","MIN","BAL","7","6","0","0"
"566955","2019/03/14","WSH","MIN","10","4","1","0"
"566174","2019/03/14","PHI","PIT","2","11","0","0"
"566657","2019/03/14","PHI","TB","4","3","0","0"
"565600","2019/03/14","MIA","HOU","12","6","1","0"
"566858","2019/03/14","NYY","TOR","1","1","0","0"
"565311","2019/03/14","COL","CLE","3","9","1","0"
"565793","2019/03/14","CIN","LAD","3","3","0","0"
"565118","2019/03/14","TEX","CHC","1","2","1","0"
"566754","2019/03/14","TEX","KC","5","4","0","0"
"567545","2019/03/14","LAA","MIL","7","7","0","0"
"564825","2019/03/14","SF","ARI","0","3","1","0"
"566269","2019/03/14","LAD","SD","12","0","0","0"
"566658","2019/03/15","DET","TB","3","7","1","0"
"566956","2019/03/15","BAL","MIN","9","12","0","0"
"567052","2019/03/15","TOR","PHI","2","3","1","0"
"567150","2019/03/15","MIA","ATL","7","6","0","0"
"567451","2019/03/15","BOS","NYY","1","14","1","0"
"565985","2019/03/15","WSH","NYM","11","3","1","0"
"566463","2019/03/15","LAA","SF","5","5","0","0"
"566755","2019/03/15","CLE","TEX","2","5","1","0"
"567257","2019/03/15","CHC","CWS","11","9","1","0"
"567546","2019/03/15","SD","MIL","2","6","1","0"
"564728","2019/03/15","ARI","LAA","1","2","1","0"
"565408","2019/03/15","KC","COL","1","2","1","0"
"566562","2019/03/15","HOU","STL","11","2","1","0"
"565601","2019/03/15","STL","HOU","0","5","1","0"
"566175","2019/03/15","TB","PIT","6","6","0","0"
"565214","2019/03/15","LAD","CIN","8","1","0","0"
"565504","2019/03/16","PIT","DET","3","6","1","0"
"565890","2019/03/16","STL","WSH","8","5","0","0"
"567053","2019/03/16","HOU","PHI","13","5","1","0"
"565022","2019/03/16","ATL","BOS","1","6","1","0"
"567354","2019/03/16","NYM","MIA","6","11","0","0"
